-0.03800	-0.10900	-0.01300
0.00100	-0.00100	1.00100
0.00800	-0.01700	-0.01300
-0.00200	-0.00200	0.99900
0.02300	-0.07800	-0.01300
0.00100	0.00000	1.00500
0.09900	-0.06300	0.00200
0.00300	0.00000	1.00100
0.03800	-0.06300	-0.07400
0.00100	-0.00100	1.00200
0.00800	-0.06300	-0.02800
0.00100	-0.00200	0.99900
0.06900	-0.04700	0.03300
0.00000	0.00100	1.00000
0.02300	-0.10900	-0.01300
0.00000	0.00000	1.00800
0.08400	-0.03200	0.01800
0.00000	0.00000	1.00500
0.11500	-0.09300	0.01800
0.00200	0.00100	1.00600
0.05400	-0.06300	0.00200
0.00000	0.00000	1.00100
0.00800	-0.10900	0.03300
0.00000	0.00100	1.00200
0.05400	0.02900	-0.04300
0.00000	0.00000	1.00300
-0.02300	0.02900	0.00200
-0.00100	-0.00100	0.98900
-0.00800	-0.09300	0.00200
0.00300	0.00100	0.99900
0.08400	-0.03200	0.04800
0.00200	0.00000	1.00200
-0.02300	-0.01700	-0.02800
-0.00200	-0.00100	1.00800
-0.06900	-0.03200	-0.01300
0.00400	-0.00100	1.01000
-0.02300	-0.00200	0.03300
0.00000	-0.00200	0.99900
0.03800	-0.01700	0.03300
0.00100	-0.00100	0.99400
0.02300	-0.07800	-0.04300
0.00400	-0.00100	1.00700
0.05400	-0.03200	0.00200
0.00100	-0.00200	1.00700
-0.00800	-0.01700	-0.01300
0.00000	-0.00100	1.00200
0.00800	-0.04700	-0.01300
0.00000	0.00100	1.00500
0.03800	-0.04700	-0.01300
0.00000	-0.00100	0.99400
0.05400	-0.03200	0.01800
0.00000	-0.00200	0.99400
0.02300	-0.06300	-0.01300
-0.00200	-0.00300	1.00300
0.05400	-0.09300	0.03300
0.00300	-0.00100	1.00200
0.05400	-0.09300	-0.02800
0.00100	0.00100	1.00900
0.02300	-0.03200	0.00200
0.00000	0.00100	1.00200
0.05400	-0.04700	0.00200
0.00200	-0.00100	1.00000
-0.06900	-0.04700	-0.05900
0.00200	0.00300	1.00200
-0.00800	-0.01700	0.03300
0.00100	0.00000	0.99600
-0.00800	-0.06300	-0.04300
0.00100	0.00100	0.99900
0.03800	-0.10900	0.04800
0.00000	0.00000	1.00500
0.06900	-0.09300	0.01800
-0.00100	-0.00100	0.99900
0.06900	0.01400	-0.02800
0.00100	0.00000	0.99800
0.00800	-0.03200	-0.08900
-0.00100	0.00200	0.99900
0.08400	-0.03200	-0.01300
0.00200	0.00000	1.00100
0.11500	-0.07800	0.03300
-0.00200	0.00200	1.00400
0.02300	-0.01700	0.03300
0.00200	-0.00100	1.00500
0.06900	0.02900	0.01800
